COMMAND     PID       USER   FD   TYPE DEVICE SIZE/OFF NLINK      NODE NAME
pipewire   2103 tarilka0gg   88u   REG    0,1     4096     0     17412 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=4096 (deleted)
pipewire   2103 tarilka0gg   97u   REG    0,1    65664     0      6624 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=65664 (deleted)
pipewire   2103 tarilka0gg  102u   REG    0,1    65664     0     14543 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=65664 (deleted)
pipewire   2103 tarilka0gg  105u   REG    0,1     2312     0      4288 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=2312 (deleted)
pipewire   2103 tarilka0gg  163u   REG    0,1     2312     0       237 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=2312 (deleted)
pipewire   2103 tarilka0gg  165u   REG    0,1     4096     0       236 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=4096 (deleted)
pipewire   2103 tarilka0gg  167u   REG    0,1     2312     0       238 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=2312 (deleted)
pipewire   2103 tarilka0gg  168u   REG    0,1    65664     0     14541 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=65664 (deleted)
pipewire   2103 tarilka0gg  171u   REG    0,1     4096     0       239 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=4096 (deleted)
pipewire   2103 tarilka0gg  177u   REG    0,1     4096     0       240 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=4096 (deleted)
Xwayland   2410 tarilka0gg 2048u   REG    0,1        4     0      9389 /memfd:xshmfence (deleted)
Xwayland   2410 tarilka0gg 2050u   REG    0,1        4     0       192 /memfd:xshmfence (deleted)
Xwayland   2410 tarilka0gg 2051u   REG    0,1        4     0     14426 /memfd:xshmfence (deleted)
Xwayland   2410 tarilka0gg 2053u   REG    0,1        4     0     10484 /memfd:xshmfence (deleted)
Xwayland   2410 tarilka0gg 2054u   REG    0,1        4     0       194 /memfd:xshmfence (deleted)
Xwayland   2410 tarilka0gg 2055u   REG    0,1        4     0      5244 /memfd:xshmfence (deleted)
Xwayland   2410 tarilka0gg 2056u   REG    0,1        4     0     11540 /memfd:xshmfence (deleted)
Xwayland   2410 tarilka0gg 2057u   REG    0,1        4     0       195 /memfd:xshmfence (deleted)
Xwayland   2410 tarilka0gg 2058u   REG    0,1        4     0     11541 /memfd:xshmfence (deleted)
Xwayland   2410 tarilka0gg 2059u   REG    0,1        4     0      6402 /memfd:xshmfence (deleted)
Xwayland   2410 tarilka0gg 2060u   REG    0,1        4     0     11542 /memfd:xshmfence (deleted)
Xwayland   2410 tarilka0gg 2061u   REG    0,1        4     0     11543 /memfd:xshmfence (deleted)
Xwayland   2410 tarilka0gg 2062u   REG    0,1        4     0     11544 /memfd:xshmfence (deleted)
Xwayland   2410 tarilka0gg 2063u   REG    0,1        4     0     11545 /memfd:xshmfence (deleted)
pipewire   2587 tarilka0gg   27u   REG    0,1     2312     0     16387 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=2312 (deleted)
pipewire   2587 tarilka0gg   28u   REG    0,1     2312     0        58 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=2312 (deleted)
pipewire   2587 tarilka0gg   32u   REG    0,1    65664     0     14540 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=65664 (deleted)
pipewire   2587 tarilka0gg   33u   REG    0,1    65664     0     14541 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=65664 (deleted)
pipewire   2587 tarilka0gg   34u   REG    0,1     4096     0       236 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=4096 (deleted)
pipewire   2587 tarilka0gg   36u   REG    0,1     2312     0      5162 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=2312 (deleted)
pipewire   2587 tarilka0gg   37u   REG    0,1     2312     0     17411 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=2312 (deleted)
pipewire   2587 tarilka0gg   41u   REG    0,1    65664     0     14542 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=65664 (deleted)
pipewire   2587 tarilka0gg   42u   REG    0,1    65664     0     14543 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=65664 (deleted)
pipewire   2587 tarilka0gg   64u   REG    0,1     2312     0      4288 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=2312 (deleted)
wireplumb  2600 tarilka0gg   36u   REG    0,1     2312     0     10241 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=2312 (deleted)
wireplumb  2600 tarilka0gg   50u   REG    0,1     2312     0      2049 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=2312 (deleted)
wireplumb  2600 tarilka0gg   53u   REG    0,1     2312     0       237 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=2312 (deleted)
wireplumb  2600 tarilka0gg   54u   REG    0,1     2312     0     11626 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=2312 (deleted)
wireplumb  2600 tarilka0gg   56u   REG    0,1    65664     0     14540 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=65664 (deleted)
wireplumb  2600 tarilka0gg   57u   REG    0,1     2312     0     11627 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=2312 (deleted)
wireplumb  2600 tarilka0gg   58u   REG    0,1    65664     0     14541 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=65664 (deleted)
wireplumb  2600 tarilka0gg   59u   REG    0,1     2312     0     11628 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=2312 (deleted)
wireplumb  2600 tarilka0gg   60u   REG    0,1     2312     0      4288 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=2312 (deleted)
wireplumb  2600 tarilka0gg   67u   REG    0,1     2312     0       238 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=2312 (deleted)
wireplumb  2600 tarilka0gg   71u   REG    0,1     2312     0        58 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=2312 (deleted)
wireplumb  2600 tarilka0gg   73u   REG    0,1     4096     0       236 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=4096 (deleted)
wireplumb  2600 tarilka0gg   75u   REG    0,1    65664     0     14542 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=65664 (deleted)
wireplumb  2600 tarilka0gg   76u   REG    0,1    65664     0     14543 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=65664 (deleted)
wireplumb  2600 tarilka0gg   77u   REG    0,1     2312     0     17411 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=2312 (deleted)
