offset,old,new,in_copy
0x68d503,0x01,0x00,DEFAULTS-2
0x68d5ce,0x01,0x00,DEFAULTS-2
0x68d841,0x01,0x00,DEFAULTS-2
0x68ed33,0x01,0x00,DEFAULTS-3
0x68edfe,0x01,0x00,DEFAULTS-3
0x68f071,0x01,0x00,DEFAULTS-3
